Plant checker 

Outputs:
    (1)     Don't water the plant
    (-1)    Water the plant 

Attributes: 
    (1) soil_mouisture 
    (2) healthy_leaves  
    (3) low_temperature  
    (4) high_humidity 
    (5) rainy_weather

Training data: 
    [-1, -1, -1, -1, -1, -1]
    [-1, -1, -1, -1, 1, -1]
    [-1, -1, 1, -1, -1, -1]
    [-1, -1, 1, -1, 1, -1]
    [-1, -1, 1, 1, -1, -1]
    [-1, 1, -1, -1, 1, -1]
    [-1, 1, -1, 1, -1, -1]
    [-1, 1, -1, 1, 1, 1]
    [-1, 1, 1, -1, -1, -1]
    [-1, 1, 1, 1, 1, 1]
    [1, -1, -1, -1, -1, -1]
    [1, -1, -1, -1, 1, -1]
    [1, -1, 1, -1, -1, -1]
    [1, -1, 1, -1, 1, 1]
    [1, -1, 1, 1, -1, 1]
    [1, -1, 1, 1, 1, 1]
    [1, 1, -1, 1, -1, 1]
    [1, 1, 1, -1, -1, 1]
    [1, 1, 1, -1, 1, 1]
    [1, 1, 1, 1, 1, 1]

Testing Data: 
    [-1, -1, -1, 1, -1, -1]
    [-1, -1, -1, 1, 1, -1]
    [-1, -1, 1, 1, 1, 1]
    [-1, 1, -1, -1, -1, -1]
    [-1, 1, 1, -1, 1, 1]
    [-1, 1, 1, 1, -1, 1]
    [1, -1, -1, 1, -1, -1]
    [1, -1, -1, 1, 1, 1]
    [1, 1, -1, -1, -1, -1]
    [1, 1, -1, -1, 1, 1]
    [1, 1, -1, 1, 1, 1]
    [1, 1, 1, 1, -1, 1]
